Верхний зуб 1,Верхний зуб 2,Верхний зуб 3,Верхний зуб 4,Верхний зуб 5,Верхний зуб 6,Нижний зуб 1,Нижний зуб 2,Нижний зуб 3,Нижний зуб 4,Нижний зуб 5,Нижний зуб 6,Индекс 1
2.41,1.68,1.02,3.46,2.93,7.42,6.41,8.93,7.49,4.09,0.82,6.87,54.666
5.17,5.7,7.12,4.69,6.39,0.91,7.95,5.79,4.54,8.6,4.14,4.68,83.978
7.18,1.99,5.15,0.34,9.77,7.97,5.54,4.81,0.07,8.78,2.63,3.75,126.661
4.02,3.03,7.74,8.29,7.15,3.28,1.34,7.45,8.83,4.91,1.45,4.98,115.711
9.82,9.84,2.46,0.28,3.39,5.63,8.43,9.66,7.71,4.44,7.62,1.02,80.813
1.65,8.12,0.61,8.94,6.74,6.1,2.73,9.42,9.49,9.12,9.33,3.62,73.576
8.43,1.16,7.51,0.01,2.22,3.44,0.13,3.84,2.74,4.36,8.49,3.17,100.176
5.92,9.77,4.43,3.25,2.61,7.84,2.94,6.4,1.94,3.23,3.31,5.54,144.777
6.8,1.52,5.43,5.38,3.66,3.39,7.8,0.57,2.44,6.01,6.39,1.47,106.078
8.3,3.69,0.2,8.51,5.59,1.57,3.4,9.73,2.8,4.56,2.06,9.0,88.304
3.09,8.36,0.03,2.79,7.42,2.24,9.07,4.82,6.58,4.61,0.46,4.77,78.951
4.71,4.67,0.56,9.11,9.68,0.93,0.13,7.64,7.43,0.11,0.95,5.36,137.188
6.58,8.86,5.76,5.98,3.82,4.98,4.62,7.36,7.73,2.69,6.68,3.05,111.983
1.49,1.97,2.0,0.72,3.51,1.67,2.39,8.55,2.86,7.11,3.82,3.19,40.688
6.2,7.06,6.85,7.05,9.73,7.6,4.6,7.42,1.88,7.74,0.35,1.22,191.685
8.07,1.54,4.12,5.33,3.63,0.3,9.99,6.71,6.03,5.22,5.51,1.21,66.311
2.6,3.4,0.08,8.62,2.19,3.68,3.92,9.25,6.76,4.03,7.94,7.38,52.368
7.93,8.76,7.09,7.15,1.06,0.55,0.7,1.05,5.4,3.41,8.72,1.54,156.292
3.95,9.64,1.09,0.03,2.23,4.14,4.55,1.64,6.82,8.45,3.64,2.8,75.556
3.07,4.29,3.15,4.73,7.71,5.82,9.34,5.55,6.55,3.46,2.5,6.5,84.867
1.12,5.13,0.7,9.26,7.5,4.72,4.55,7.41,1.07,1.76,4.29,2.77,130.114
6.84,5.13,9.88,3.88,2.39,0.94,7.87,4.24,0.3,9.61,9.76,5.47,78.013
3.84,9.33,7.75,9.89,7.18,5.02,4.54,0.92,6.92,2.45,4.07,9.33,152.356
1.27,2.83,5.46,3.75,6.77,4.56,5.73,5.0,9.09,6.32,10.0,5.37,59.359
8.32,5.31,1.02,4.0,0.81,3.22,5.53,9.18,0.13,5.37,0.7,6.18,83.721
6.45,0.82,2.6,1.82,7.47,8.91,7.95,5.64,0.13,0.55,2.11,9.95,106.608
2.81,7.21,6.27,9.66,3.31,6.09,3.06,4.97,2.71,2.19,3.07,4.8,169.952
6.62,7.24,2.51,5.29,6.08,5.44,9.81,8.11,6.68,2.68,2.77,5.49,93.360
7.74,7.43,9.41,8.54,3.25,8.83,9.21,5.38,9.65,1.4,4.58,5.7,125.835
7.24,7.08,1.3,1.48,8.66,3.01,9.42,5.44,1.31,7.0,5.66,4.96,85.144
5.97,9.63,3.5,8.99,1.0,9.85,9.19,2.1,4.97,2.58,0.73,5.36,156.197
0.14,4.65,7.28,0.77,7.55,7.42,4.35,2.53,2.02,1.01,1.35,5.84,162.632
4.92,9.04,7.02,4.72,5.59,2.8,8.86,4.38,8.63,8.15,5.95,1.46,91.077
1.5,1.67,0.39,6.82,0.12,0.24,9.77,1.79,2.63,4.36,8.08,1.54,38.126
6.86,6.39,1.58,0.82,9.56,8.43,2.94,3.16,3.82,8.52,1.16,4.0,142.542
5.63,9.91,2.93,7.84,8.75,3.47,9.41,8.7,8.96,8.49,5.18,7.41,80.021
5.2,1.47,3.64,1.16,8.0,9.0,9.55,2.33,1.68,3.35,5.51,5.37,102.447
5.62,9.23,4.26,2.29,9.76,3.74,2.52,4.17,4.98,2.57,7.97,8.92,112.111
7.53,3.58,3.74,0.18,4.02,0.32,6.12,3.29,0.42,5.47,1.99,2.57,97.533
6.69,9.24,5.72,7.64,0.21,0.39,7.82,0.77,1.26,3.64,7.1,9.1,100.674
5.83,4.72,9.29,1.06,8.94,8.06,2.87,2.55,5.71,2.43,9.0,1.78,155.711
0.42,7.47,6.81,8.6,9.13,9.5,4.77,9.02,6.47,1.27,8.94,5.76,115.733
8.38,1.25,9.07,1.94,7.85,5.99,6.92,9.55,8.12,9.23,1.87,9.09,76.999
0.85,7.24,5.39,0.69,2.89,7.3,2.33,8.79,4.2,4.67,6.12,5.13,77.977
0.24,0.54,6.26,8.01,4.57,5.9,8.52,7.05,7.79,6.34,0.97,5.06,71.425
9.63,4.64,4.21,8.41,3.35,4.18,7.27,2.48,4.07,8.6,3.82,1.58,123.724
1.87,7.66,0.22,0.58,7.14,5.51,6.38,5.22,6.86,2.24,7.7,0.22,80.294
7.66,5.91,6.66,7.09,1.8,7.11,0.44,0.27,2.81,8.98,3.11,3.65,188.110
5.84,7.32,3.61,1.75,4.81,2.21,4.65,3.66,4.19,6.93,0.07,3.56,110.755
7.13,3.82,9.28,6.02,8.13,8.99,5.51,1.08,2.33,5.07,0.36,6.95,203.615
2.37,6.53,2.19,7.79,7.75,7.01,0.64,0.61,3.32,2.2,7.09,1.55,218.300
9.27,5.63,0.11,9.35,4.41,1.94,8.43,3.96,2.8,4.76,3.8,8.86,94.174
4.81,3.28,1.61,4.45,9.25,9.19,2.92,8.25,7.49,6.06,3.16,7.11,93.141
0.71,6.72,2.7,3.97,8.22,5.01,8.82,4.84,1.3,5.77,0.02,4.47,108.366
4.01,8.16,1.21,0.07,5.33,0.98,5.38,2.58,9.25,9.49,1.89,9.94,51.285
8.13,2.03,1.39,5.49,4.6,0.23,9.82,0.04,3.6,9.81,2.93,5.29,69.451
8.38,7.73,8.12,3.9,1.48,8.66,2.26,2.93,2.85,7.31,7.91,6.98,126.554
7.3,5.58,5.74,2.52,2.3,4.89,6.18,4.7,2.34,2.19,2.1,0.45,157.739
0.18,4.96,2.87,8.87,7.02,2.77,8.64,5.19,9.84,6.01,5.2,1.67,72.969
2.95,7.37,2.45,4.98,7.28,0.06,5.63,7.03,9.4,8.66,9.07,0.24,62.678
3.08,6.05,5.17,2.21,8.33,8.76,1.23,7.32,0.09,7.57,6.99,2.52,130.638
1.15,1.54,4.02,8.1,4.64,3.11,2.04,5.03,6.79,9.04,7.31,3.81,66.314
9.01,4.82,6.77,1.05,2.38,2.1,1.04,9.17,6.0,3.73,3.02,0.63,110.767
6.72,1.84,8.73,0.89,6.91,9.59,1.56,6.17,7.51,3.58,6.06,2.0,129.018
5.81,6.14,4.92,7.09,1.71,0.2,7.94,3.7,6.72,3.72,2.33,4.11,90.708
6.29,7.35,1.24,8.11,6.75,4.75,2.39,4.84,8.88,6.02,4.82,5.77,105.410
6.71,7.53,6.09,1.08,3.07,5.4,9.49,1.86,0.25,7.51,6.06,3.93,102.680
5.15,7.84,4.19,7.32,2.37,9.38,1.83,8.75,8.35,5.23,3.04,4.66,113.779
4.79,1.94,9.6,4.32,2.89,7.47,4.41,4.49,4.91,3.57,8.87,1.69,110.988
2.5,8.12,5.29,7.09,5.71,9.06,5.93,2.9,4.51,1.1,6.33,2.44,162.732
3.95,6.12,9.82,5.82,1.02,2.32,8.1,0.43,4.45,2.38,4.04,3.4,127.412
1.62,2.33,5.04,4.62,6.3,8.36,9.3,6.59,4.92,2.47,0.58,2.69,106.478
7.47,3.72,0.99,9.74,3.64,7.99,5.78,1.07,5.69,9.27,2.18,0.5,136.995
0.27,3.91,6.09,6.29,7.24,4.48,0.91,4.19,5.92,1.69,1.03,2.33,175.980
0.08,8.75,3.49,1.8,9.85,0.72,9.6,2.25,8.15,8.4,9.51,9.95,51.588
2.89,8.45,0.44,7.77,5.41,3.17,1.46,3.79,4.04,9.85,6.21,2.65,100.464
1.15,3.24,6.26,5.11,0.35,2.43,3.06,1.79,2.26,7.23,9.6,9.24,55.877
8.33,8.83,4.34,7.56,8.9,1.47,4.45,6.26,4.23,6.09,6.92,3.03,127.276
8.71,3.46,5.19,2.49,7.29,6.26,4.81,0.03,9.71,8.81,9.76,4.81,88.057
9.43,6.88,1.92,9.56,9.02,0.74,0.67,3.91,8.95,2.13,4.93,3.19,157.906
1.32,2.47,0.23,0.71,3.74,2.26,6.75,4.5,9.83,1.87,5.7,8.5,28.883
0.55,7.05,5.95,6.93,8.57,3.41,4.92,4.55,5.67,1.26,0.31,1.23,180.936
4.75,8.33,6.87,4.94,2.55,4.83,1.52,1.01,1.48,5.58,4.84,0.16,221.179
2.87,9.6,0.61,7.32,3.18,8.05,2.08,5.0,7.9,5.0,0.89,7.47,111.609
2.82,0.75,1.62,2.61,2.37,6.21,4.36,6.67,6.69,1.38,8.89,9.21,44.032
6.67,4.86,1.53,7.76,1.57,1.48,1.11,7.96,4.0,0.47,3.94,2.59,118.934
